"","con1","con2","treat1","treat2","con3","con4","treat3","treat4"
"DDX11L1",1761,1695,2117,1783,1406,1209,2191,1616
"MIR1302-2",1306,940,1538,1492,1402,1197,1609,1374
"FAM138A",24,16,29,29,43,27,37,31
"OR4G11P",318,247,426,454,382,285,476,356
"CICP27",45,36,76,78,31,26,46,50
"AL627309.6",46,28,28,28,35,33,23,36
"OR4F29",927,841,949,738,790,794,920,729
"CICP7",456,336,595,720,579,487,852,705
"U6",57,47,44,42,65,58,64,48
"MTND1P23",4381,3915,3719,3177,4066,3862,4316,3364
"MTND2P28",1486,1279,1907,1728,1526,1468,2085,1582
"MTCO1P12",134,101,133,123,154,128,141,135
"OR4F16",554,422,496,517,490,421,592,458
"RNU6-1199P",1198,997,1059,971,1055,1042,1194,867
"AL669831.2",1147,866,1105,947,910,810,869,670
"LINC01409",62,53,48,47,53,40,70,26
"AL669831.5",424,299,347,354,609,427,464,356
"AL645608.6",734,536,778,905,955,774,869,723
"NOC2L",376,276,418,442,362,339,472,367
"PLEKHN1",236,226,152,154,303,259,181,141
"PERM1",60,71,35,25,79,71,53,31
"AL645608.7",559,523,652,514,503,440,528,432
"AL645608.3",54,27,67,53,64,54,85,65
"AL645608.8",45,38,44,43,61,55,69,46
"LINC01342",1009,703,639,590,721,620,1004,746
"MIR200A",508,366,304,334,356,312,388,307
"LINC01786",91,87,74,69,98,84,101,49
"MIR6726",599,547,857,687,903,787,959,735
"INTS11",720,474,744,820,923,718,901,707
"MIR6727",5311,5010,6080,5136,4944,4819,5762,4401
"MXRA8",1722,1400,1588,1549,1573,1460,1894,1338
"MRPL20",2355,1859,2363,2417,2234,1842,2395,1856
"AL645728.2",150,132,133,127,143,117,168,113
"ATAD3A",1874,1880,1978,1597,1362,1188,1620,1234
"TMEM240",501,417,473,437,642,635,586,504
"AL691432.3",78,59,28,39,71,75,48,34
"FNDC10",26,16,23,28,38,24,35,34
"AL691432.2",819,656,739,728,504,426,680,606
"CDK11A",19,15,27,20,13,11,18,16
"AL031282.1",749,552,930,969,895,758,1341,1022
"GNB1",789,585,975,940,857,737,1012,774
"AL391845.2",312,281,168,163,363,297,236,166
"AL391845.1",1364,1170,1364,1194,1429,1263,1181,958
"PRKCZ",604,475,568,537,588,527,591,442
"AL590822.2",955,854,820,748,892,869,941,733
"SKI",25,34,30,24,31,19,32,28
"AL590822.3",479,329,515,521,565,471,636,454
"MORN1",1590,1203,1815,1772,1663,1426,1761,1446
"RER1",526,439,477,442,332,305,457,351
"PEX10",17,25,21,16,25,18,17,12
"PLCH2",11,13,17,14,10,20,24,20
"HES5",30,36,9,7,31,20,15,21
"TNFRSF14",28,22,28,27,45,40,46,37
"MMEL1",1334,1151,1499,1371,1050,965,1420,1020
"ACTRT2",626,526,532,508,611,529,616,469
"MIR551A",509,432,572,570,404,366,592,499
"TP73-AS1",368,262,309,311,387,329,379,272
"CCDC27",763,653,804,653,693,674,858,606
"LRRC47",135,119,147,112,117,140,127,106
"CEP104",49,42,45,40,31,29,43,33
"DFFB",604,540,302,240,452,424,404,306
"LINC01346",1764,1555,1932,1632,1481,1295,1959,1428
"LINC02780",475,358,460,476,474,438,493,361
"LINC01646",82,60,64,61,65,75,56,49
"Z98886.1",345,296,507,481,325,307,782,629
"Z98259.3",192,134,225,279,242,195,372,269
"Z97988.2",75,48,87,86,46,52,56,48
"AL365255.1",1702,1251,1726,1627,1748,1378,1763,1257
"NPHP4",55,26,24,22,54,39,61,56
"ICMT",6569,5340,8609,7838,5534,5027,6738,5082
"HES3",69,50,64,44,82,62,71,61
"ESPN",284,246,250,229,170,148,243,176
"TNFRSF25",146,144,170,131,178,149,196,164
"AL591866.1",642,428,537,566,585,505,585,527
"THAP3",79,61,60,66,79,51,62,36
"LINC01672",1899,1788,1576,1202,2173,2134,1797,1326
"CAMTA1-DT",1121,824,1091,1211,1220,1139,1284,1047
"CAMTA1-IT1",2075,1760,1768,1579,1606,1502,1994,1634
"Z98884.2",2285,2100,2740,2427,2626,2387,2367,1711
"Z98884.1",1879,1653,1453,1176,1795,1564,1523,1079
"TNFRSF9",1144,1050,947,793,972,927,829,648
"AL034417.3",2682,2372,3349,2849,2671,2527,3894,3143
"LINC01714",321,319,299,313,300,297,299,268
"AL358876.2",1111,759,937,1010,878,716,920,772
"AL356072.1",1751,1630,1807,1395,1806,1732,2037,1385
"RERE",3807,3160,3894,3571,4414,3838,4490,3327
"AL096855.2",863,762,421,399,849,806,654,494
"RPL7P11",888,685,766,736,741,686,776,597
"AL357552.1",883,866,1161,953,1023,949,1239,976
"RPL23AP19",2087,1948,1835,1495,1913,1776,1962,1456
"ENO1",3789,3420,4856,4072,4012,3644,5091,3601
"MIR6728",309,179,293,291,317,273,298,245
"GPR157",21,18,21,18,10,16,23,13
"MIR34AHG",895,775,744,655,891,763,817,658
"LINC02606",921,758,949,784,775,641,754,590
"AL928921.1",1717,1329,1599,1535,1740,1529,1666,1360
"SLC25A33",130,119,43,40,72,66,66,51
"AL954705.1",148,136,106,86,142,124,123,122
"MZT1P1",29,31,54,50,28,35,73,55
"CTNNBIP1",2751,2354,2410,2098,3619,3304,2924,2197
"AL357140.1",26,29,21,15,26,18,19,20
"PGAM1P11",1296,1175,1192,952,1129,1058,1166,845
"RNU6-828P",48,48,47,39,39,48,42,32
"RNU6-37P",33,30,36,36,32,28,49,41
"RN7SL731P",33,24,32,28,19,20,19,16
"PGD",64,51,58,59,57,36,65,46
"AL139424.1",106,104,68,67,120,111,107,86
"DFFA",1019,668,1143,1393,1081,834,1378,1320
"RN7SL614P",1446,1188,2559,2235,1543,1280,2669,2146
"CASZ1",712,566,1124,1048,789,679,1267,943
"HSPE1P24",94,78,105,114,146,143,130,133
"AL109811.3",24,20,31,25,21,27,45,38
"EXOSC10",268,274,291,231,312,289,268,194
"RNU6-291P",1347,1182,1237,1159,1817,1726,1668,1343
"LINC01647",441,316,403,432,331,281,437,365
"C1orf167-AS1",49,35,32,44,46,38,43,24
"MTHFR",484,478,457,497,364,343,462,399
"AL021155.3",657,491,535,416,516,481,612,446
"AL021155.4",24,19,16,15,24,16,21,17
"RNU5E-1",111,112,116,77,127,105,131,108
"KIAA2013",218,185,347,316,263,214,379,278
"RN7SL649P",131,101,132,131,85,72,165,133
"TNFRSF8",1482,1106,1845,1949,1633,1442,1959,1481
"SNORA59A",224,183,278,280,334,245,318,275
