gene_symbol,comparison,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DDX11L1,treat_vs_con,1709.61509271601,0.265740759429043,0.126022784550315,2.10867233554061,0.0349728743313793,0.0864254475485611
MIR1302-2,treat_vs_con,1344.54285370252,0.267408932917606,0.0838111338999726,3.19061347191359,0.00141971078106993,0.00638332082246214
FAM138A,treat_vs_con,29.0817001903509,0.121690220754596,0.221488794598062,0.549419310242888,0.582717725131303,0.711498434602084
OR4G11P,treat_vs_con,363.507819443212,0.413836471565441,0.105633831288019,3.91765087490845,8.94160814129825e-05,0.000647176150226892
CICP27,treat_vs_con,48.2839616788916,0.633957739023752,0.21241750562839,2.98448914155323,0.00284052283082695,0.0112998473324286
AL627309.6,treat_vs_con,32.1693381443682,-0.250162875461824,0.215168227999636,-1.16263854467514,0.244976185272037,0.385305016301376
OR4F29,treat_vs_con,832.130362694272,-0.0591925080414882,0.102459970364633,-0.577713499533868,0.563457563528817,0.69529897343568
CICP7,treat_vs_con,584.703820266662,0.550318673027343,0.131100820222272,4.19767528604562,2.69668915844058e-05,0.000236838989208291
U6,treat_vs_con,52.715580708353,-0.210384765149755,0.177007731957985,-1.18856257194286,0.23461184348492,0.373380296701299
MTND1P23,treat_vs_con,3831.70703127583,-0.202582776480674,0.0807608431018085,-2.50842820233185,0.0121269610098384,0.0371660646162495
MTND2P28,treat_vs_con,1618.15188212301,0.286977434022157,0.065819604012343,4.36006017247294,1.30026683916765e-05,0.000128783168133479
MTCO1P12,treat_vs_con,130.281852679096,0.0038835140141733,0.134197726365434,0.0289387467236077,0.976913443135475,0.987019664834906
OR4F16,treat_vs_con,489.558971628635,0.0813084804872507,0.088503164614806,0.91870704105476,0.358248825979867,0.507255807119253
RNU6-1199P,treat_vs_con,1040.89920540777,-0.11921914501103,0.0765856267004795,-1.55667780166227,0.1195470015969,0.225709628001348
AL669831.2,treat_vs_con,908.919279758516,-0.0946654682592576,0.130075657170014,-0.727772362014872,0.466752945675103,0.608162180588745
LINC01409,treat_vs_con,49.0768159048592,-0.153778178487804,0.201199060090651,-0.764308632547878,0.444683342229564,0.589612360710122
AL669831.5,treat_vs_con,405.127787520798,-0.222877139340682,0.142178785252643,-1.56758365141918,0.116978329936542,0.221892146189401
AL645608.6,treat_vs_con,777.032446247631,0.0881128063846026,0.124468567153671,0.707912113070418,0.478999837007105,0.619568020524446
NOC2L,treat_vs_con,377.843377001043,0.275063150860973,0.0925454479760083,2.97219535781253,0.0029567847952207,0.0116679719098613
PLEKHN1,treat_vs_con,206.004778632989,-0.709543874199791,0.118649972746836,-5.98014359188898,2.22941007692234e-09,6.61577440326704e-08
PERM1,treat_vs_con,53.064187847658,-0.847924297862921,0.193014906106165,-4.39305085274882,1.11770969507016e-05,0.000112727962775344
AL645608.7,treat_vs_con,516.361584394255,0.0173412126541715,0.122906877657449,0.141092288606523,0.887797035512176,0.930489442028689
AL645608.3,treat_vs_con,57.6302667604255,0.33348201742954,0.191689321234746,1.73970054920875,0.0819116128634055,0.168194025029303
AL645608.8,treat_vs_con,49.5529106444292,-0.0245845172358551,0.188396962702486,-0.130493171881325,0.896176256001768,0.93526956623585
LINC01342,treat_vs_con,746.614193529817,-0.0752735674919673,0.147087692204479,-0.511759796919809,0.608819130382535,0.732872142985639
MIR200A,treat_vs_con,357.182657261403,-0.235747349082816,0.130674946326489,-1.80407458131879,0.0712196159038392,0.150918688960745
LINC01786,treat_vs_con,80.7853808645322,-0.318335537810038,0.161855248949716,-1.96679156144597,0.0492072458327793,0.113145136409718
MIR6726,treat_vs_con,751.692466152293,0.133061152028994,0.133355981236626,0.997789156475036,0.318381609392565,0.466522325945938
INTS11,treat_vs_con,741.830941821583,0.120881961407308,0.127885011985173,0.945239473577435,0.344536631166589,0.493024985647429
MIR6727,treat_vs_con,5154.79405028741,0.0327722869644645,0.0906298069448624,0.361606055107263,0.717646439147535,0.815704346087626
MXRA8,treat_vs_con,1552.17586304009,-0.00228012035042406,0.0685038920447728,-0.0332845373067827,0.973447684369891,0.98461400219663
MRPL20,treat_vs_con,2147.36145251425,0.0779151291166824,0.0828859157429067,0.94002857323019,0.347202904447411,0.49580677572904
AL645728.2,treat_vs_con,134.183228609357,-0.0512875706168206,0.12830778049873,-0.399722997447751,0.68936055161773,0.794892646899712
ATAD3A,treat_vs_con,1586.7223641247,-0.029636614733059,0.158848203053786,-0.186571923152471,0.851996282247673,0.906450264159118
TMEM240,treat_vs_con,521.498615998719,-0.164096370194389,0.131280980680229,-1.24996301325697,0.211313058835618,0.346023661648564
AL691432.3,treat_vs_con,53.8660388488901,-0.827444081791093,0.181009544046255,-4.57127322291719,4.84769720892404e-06,5.52881120701455e-05
FNDC10,treat_vs_con,27.6948533031745,0.13222146294615,0.223198268390233,0.592394662824974,0.553586339458713,0.685915433128907
AL691432.2,treat_vs_con,641.96462949433,0.133668262150105,0.16093037569876,0.830596843943955,0.406201418265974,0.553464675453737
CDK11A,treat_vs_con,17.2429833625415,0.292166864149368,0.238639773397644,1.22430079441339,0.220838777376766,0.357507676636684
AL031282.1,treat_vs_con,890.493064615463,0.459848633268405,0.117509897260517,3.91327576645677,9.10524510575106e-05,0.000657170426692445
